endpoint,fingerprint_bit,coefficient,absolute_coefficient,association_direction
SR-ARE,210,-0.8246749473394155,0.8246749473394155,negative
SR-ARE,1609,0.8154372998097302,0.8154372998097302,positive
SR-ARE,1928,-0.8130586453919719,0.8130586453919719,negative
SR-ARE,1920,-0.7855199993090358,0.7855199993090358,negative
SR-ARE,441,-0.7793689821053388,0.7793689821053388,negative
SR-ARE,1418,-0.7749392402948042,0.7749392402948042,negative
SR-ARE,1444,0.7748796283801822,0.7748796283801822,positive
SR-ARE,227,-0.7587904874665446,0.7587904874665446,negative
SR-ARE,80,-0.7482290288466008,0.7482290288466008,negative
SR-ARE,1386,-0.7324189107154072,0.7324189107154072,negative
SR-ARE,233,0.732083865269938,0.732083865269938,positive
SR-ARE,378,-0.7255721135537266,0.7255721135537266,negative
SR-ARE,225,0.7195423873608894,0.7195423873608894,positive
SR-ARE,1308,-0.7164663507656511,0.7164663507656511,negative
SR-ARE,1073,0.7149380707961034,0.7149380707961034,positive
SR-ARE,202,0.7075184430224603,0.7075184430224603,positive
SR-ARE,1607,0.7006313194829191,0.7006313194829191,positive
SR-ARE,703,0.6937329660010338,0.6937329660010338,positive
SR-ARE,1537,-0.6859319013823131,0.6859319013823131,negative
SR-ARE,1036,-0.6828622023895096,0.6828622023895096,negative
SR-ARE,778,0.6801371306568368,0.6801371306568368,positive
SR-ARE,268,-0.6753941760497187,0.6753941760497187,negative
SR-ARE,1004,-0.6699219364184223,0.6699219364184223,negative
SR-ARE,1523,0.6538678921985247,0.6538678921985247,positive
SR-MMP,1057,-1.437253982510198,1.437253982510198,negative
SR-MMP,1602,1.3623322369191158,1.3623322369191158,positive
SR-MMP,650,-1.022630042733625,1.022630042733625,negative
SR-MMP,80,-1.0104711634680985,1.0104711634680985,negative
SR-MMP,513,1.0044560823535886,1.0044560823535886,positive
SR-MMP,1581,0.8132534566783178,0.8132534566783178,positive
SR-MMP,926,-0.8078079402458186,0.8078079402458186,negative
SR-MMP,233,-0.7982481340455154,0.7982481340455154,negative
SR-MMP,1444,0.7265888990860389,0.7265888990860389,positive
SR-MMP,1616,-0.7200491633442547,0.7200491633442547,negative
SR-MMP,184,0.7180701903714284,0.7180701903714284,positive
SR-MMP,192,-0.7072629867710265,0.7072629867710265,negative
