endpoint,molecule_id,reference_n,mean_knn_similarity,minimum_knn_similarity,descriptor_distance,descriptor_ad,latent_distance,latent_ad,scaffold_novelty
herg_blockade,ARKYOPPYXOUDRK-UHFFFAOYSA-N,8971,0.47142392695024277,0.30526315789473685,1.4624474077511762,inside,9.805173312523769,inside,True
herg_blockade,INDBQLZJXZLFIT-UHFFFAOYSA-N,8971,0.2687820286995937,0.25925925925925924,5.128590338464813,inside,10.37336474017362,inside,True
herg_blockade,KYLOBHXXQOZRKK-UHFFFAOYSA-N,8971,0.43634670748110416,0.3068181818181818,2.9196239686201246,inside,11.415321246910134,inside,True
herg_blockade,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,8971,0.42167931780761714,0.41333333333333333,2.920850900894415,inside,12.808600877880972,inside,True
herg_blockade,UGWHGJOPTDAWEZ-UHFFFAOYSA-N,8971,0.7088032026620816,0.6617647058823529,2.2212848111573504,inside,11.322656139189924,inside,True
herg_blockade,AJMOXIHRFKBMKQ-UHFFFAOYSA-N,8971,0.7520908173122317,0.7078651685393258,5.351892209446888,inside,18.249670300995607,inside,True
herg_blockade,ZMAHAONSAMATES-BDXSIMOUSA-N,8971,0.4502673390847474,0.4305555555555556,3.1441063583445863,inside,12.565618009910809,inside,True
herg_blockade,PFWVQEFSAUYDCS-GCJKJVERSA-N,8971,0.3539519947970652,0.25757575757575757,2.1824798614977676,inside,12.691336022191717,inside,True
herg_blockade,MDIKVAKEOQZBRR-UHFFFAOYSA-N,8971,0.4041707070317716,0.34065934065934067,2.4493871105274687,inside,10.585941715182665,inside,True
herg_blockade,WXIHXYDSBPDUPK-UHFFFAOYSA-N,8971,0.47996537800986133,0.2876712328767123,2.837537857928437,inside,11.395597487991765,inside,True
herg_blockade,YEGSREZTMOWGTG-MRXNPFEDSA-N,8971,0.7202981869631633,0.5882352941176471,7.237421783307801,borderline,18.028438775848116,inside,True
herg_blockade,VRMVSYUYAWQPOU-GOSISDBHSA-N,8971,0.7378239432525147,0.6938775510204082,2.2181810700809246,inside,11.51572992237887,inside,True
herg_blockade,KWGHMLKLMKELGP-UHFFFAOYSA-N,8971,0.32799454652200033,0.27710843373493976,2.559027634488615,inside,13.736388063716127,inside,True
herg_blockade,ZNKQZQCGGXGVRU-WAESHZATSA-N,8971,0.719368073316283,0.5797101449275363,2.4388909487027717,inside,14.884341031809296,inside,True
herg_blockade,VARRTAZUISVFHX-MOEXGYKKSA-N,8971,0.4118036469752647,0.375,2.7557191391565787,inside,11.160632045227237,inside,True
herg_blockade,SWPRXXOOLHFIKF-UHFFFAOYSA-N,8971,0.41671640666892246,0.38028169014084506,5.522633803758715,inside,10.008341545119496,inside,True
herg_blockade,KAUGEXWMBITOIF-DEOSSOPVSA-N,8971,0.6803013822001164,0.6282051282051282,2.9074781501227718,inside,14.560076574057604,inside,True
herg_blockade,VURLRACCOCGFDB-UHFFFAOYSA-N,8971,0.40269530341731735,0.3106796116504854,2.7524184545561403,inside,11.117045731049465,inside,True
herg_blockade,RZUWLMYXOXGJLS-UHFFFAOYSA-N,8971,0.5377888164302113,0.5060240963855421,3.759529038807526,inside,10.33086664675287,inside,True
herg_blockade,KRMBZIKXHYHITN-IBGZPJMESA-N,8971,0.7081212305573945,0.6136363636363636,4.53103557570167,inside,14.591714580836712,inside,True
herg_blockade,KMLLEVUPKXCGML-BVRKHOPBSA-N,8971,0.7228372292333572,0.6588235294117647,3.8106750531205593,inside,14.535324138052559,inside,True
herg_blockade,MSMLICOHMGLKMX-RUZDIDTESA-N,8971,0.47509792729877337,0.46875,1.6416807928812152,inside,11.454368569702224,inside,True
herg_blockade,COTBNYZFCXXYBD-UHFFFAOYSA-N,8971,0.7313120909371811,0.6493506493506493,2.7812396739488974,inside,24.710787994474572,borderline,True
herg_blockade,NDXWAAKFUDDIDP-PBHICJAKSA-N,8971,0.5325979223905954,0.40594059405940597,3.914722746402491,inside,13.777602978759203,inside,True
herg_blockade,HTMCDFJCNVHIQC-UHFFFAOYSA-N,8971,0.4174088325549481,0.3484848484848485,2.1906985589750714,inside,12.947024713063781,inside,True
herg_blockade,OHTNGFRHJDYZSO-UHFFFAOYSA-N,8971,0.24344458614520784,0.23170731707317074,4.362798338247759,inside,10.48558954080944,inside,True
herg_blockade,QYUZDDGWOYPEHN-COOPMVRXSA-N,8971,0.5384104828252505,0.5113636363636364,3.7538188406610553,inside,15.293237929632955,inside,True
herg_blockade,BGXXKJRUEAILQH-SFHVURJKSA-N,8971,0.6517826071424272,0.5217391304347826,4.532743914891421,inside,11.035270960869974,inside,True
herg_blockade,WTJRFDFYOQEAAP-BHWOZTKKSA-N,8971,0.43611948858343563,0.3787878787878788,1.9728359572429848,inside,11.67360136719904,inside,True
herg_blockade,OTWNXWHEBKCAMK-UHFFFAOYSA-N,8971,0.3845223053804937,0.3465346534653465,6.328014185452361,borderline,10.742305371716581,inside,True
herg_blockade,DATDVQKGDSNVRT-CYBMUJFWSA-N,8971,0.5706901829485609,0.4084507042253521,3.7982622347264883,inside,10.820935175846875,inside,True
herg_blockade,XZFBQMFLEPCQCW-JKSUJKDBSA-N,8971,0.3147887590956898,0.30303030303030304,2.20996612316443,inside,10.98711423260676,inside,True
herg_blockade,JASFWVIOOFYYRD-FWZXWOTPSA-N,8971,0.6492934482470086,0.5789473684210527,3.715879164787151,inside,12.587081875612206,inside,True
