endpoint,number,value,state,C
SR-ATAD5,8,0.1761128555219808,1,0.19791101173983475
SR-ATAD5,9,0.16976449045794118,1,1.736288529065214
SR-ATAD5,10,0.18445853422848024,1,0.0032066435314612785
SR-ATAD5,11,0.18747717449387546,1,0.0011315272949637123
SR-ATAD5,12,0.18669981114748807,1,0.00105640543641902
SR-ATAD5,13,0.18670523356645702,1,0.017640165545886766
SR-ATAD5,14,0.18437924790323346,1,0.02362617753767818
SR-ATAD5,15,0.19026296828777126,1,0.0014814150035728977
SR-ATAD5,16,0.18741184246386403,1,0.0011389629092179833
SR-ATAD5,17,0.18178697656736562,1,0.02680438517828544
SR-ATAD5,18,0.15714388630563253,1,90.29455067988538
SR-ATAD5,19,0.18333364475938968,1,0.008461980709156899
SR-ATAD5,20,0.18055427794192713,1,0.05397963988073061
SR-ATAD5,21,0.1876433078887255,1,0.0011804266696678208
SR-ATAD5,22,0.18634521273249485,1,0.0024857187310559268
SR-ATAD5,23,0.1870305328586028,1,0.0010042042242138986
SR-ATAD5,24,0.1821317186354076,1,0.0078080676497706255
SR-ATAD5,25,0.1869577233955316,1,0.0028723958326222774
SR-ATAD5,26,0.18248341871724102,1,0.007488362531919836
SR-ATAD5,27,0.18912894070829345,1,0.0020815524584503575
SR-ATAD5,28,0.18006544352517656,1,0.05970137783979802
SR-ATAD5,29,0.17352005686437835,1,0.632744845760913
SR-ATAD5,30,0.18356351321122258,1,0.0141228940217342
SR-ATAD5,31,0.18958366226640788,1,0.0015868740504946038
SR-ATAD5,32,0.18696784298395117,1,0.0024403206216582563
SR-ATAD5,33,0.166389988226373,1,8.354285870049317
SR-ATAD5,34,0.18171923307460902,1,0.004893920810478565
SR-ATAD5,35,0.18756503990697346,1,0.0022970204863051254
SR-ATAD5,36,0.18094038205222965,1,0.048973087462324934
SR-ATAD5,37,0.19033189730813088,1,0.0019305728179736241
SR-ATAD5,38,0.18138197338822704,1,0.004449959260342925
SR-ATAD5,39,0.18330072636332373,1,0.011585767820493007
SR-ATAD5,40,0.18996144021088782,1,0.0019858669838581054
SR-ATAD5,41,0.1903381802938057,1,0.001935638651297529
SR-ATAD5,42,0.18165917777685875,1,0.004621737192895999
SR-ATAD5,43,0.18944811341619466,1,0.001778788315553658
SR-ATAD5,44,0.181777418913858,1,0.004566029184774362
SR-ATAD5,45,0.1895907178042574,1,0.0015715959201902394
SR-ATAD5,46,0.18318059145938267,1,0.0035299018296624683
SR-ATAD5,47,0.16807602932123022,1,4.263213929528718
SR-ATAD5,48,0.1831238846893892,1,0.012021567315199393
SR-ATAD5,49,0.17782132054834526,1,0.0877169276359761
SR-ARE,0,0.2984718664227535,1,2.6890788551555658
SR-ARE,1,0.3081283655336698,1,0.18532293842414965
SR-ARE,2,0.3027527582602875,1,0.9742378760234416
SR-ARE,3,0.3084806712602855,1,0.1603873144570661
SR-ARE,4,0.31065422410590215,1,0.003083293772194663
SR-ARE,5,0.3084572999888921,1,0.15957290600559562
SR-ARE,6,0.30715592940808545,1,0.0065543210288524015
SR-ARE,7,0.2703618210533424,1,26.477492430623958
SR-ARE,8,0.30787677396308666,1,0.19791101173983475
SR-ARE,9,0.29987912480268675,1,1.736288529065214
SR-ARE,10,0.3107568664615775,1,0.0032066435314612785
SR-ARE,11,0.31052082406944187,1,0.0011315272949637123
SR-ARE,12,0.3060853023829724,1,0.008264965037357148
SR-ARE,13,0.3107547022930619,1,0.01534787078543405
SR-ARE,14,0.30980085053052253,1,0.026117626533247607
SR-ARE,15,0.30992317145081894,1,0.028255487081700344
SR-ARE,16,0.3092990110590538,1,0.0321416927353476
SR-ARE,17,0.30726586652297705,1,0.0015154501963029112
SR-ARE,18,0.3065809419357918,1,0.010632361293741018
SR-ARE,19,0.2723407516930949,1,55.839488259045865
SR-ARE,20,0.30852335836508216,1,0.05397963988073061
SR-ARE,21,0.3094205796921135,1,0.0025524055523090993
SR-ARE,22,0.31182912553859915,1,0.004011290395803536
SR-ARE,23,0.31122819255176176,1,0.004436641001590283
SR-ARE,24,0.31169128697608317,1,0.0037459757814473677
SR-ARE,25,0.31134687872844047,1,0.004554636552095342
SR-ARE,26,0.30547041819184756,1,0.06877895962147668
SR-ARE,27,0.3105404188120754,1,0.0011217726448893332
SR-ARE,28,0.30524882055083585,1,0.555523841103452
SR-ARE,29,0.3092202840571362,1,0.013764795050280049
SR-ARE,30,0.3063774918307105,1,0.06744611911496183
SR-ARE,31,0.3082250809269588,1,0.004890261355613843
SR-ARE,32,0.3047642099655976,1,0.0022101222648908342
SR-ARE,33,0.2776720039995387,1,8.354285870049317
SR-ARE,34,0.3112367664910467,1,0.004456154552465307
SR-ARE,35,0.3077037080384722,1,0.006200830780715705
SR-ARE,36,0.3112013726350002,1,0.01619371595933278
