endpoint,model,metric,runs,mean,std,ci95_lower,ci95_upper
SR-p53,random_forest,mcc,5,0.14642321485665105,0.05418479837164784,0.07914390146864586,0.21370252824465624
SR-p53,random_forest,balanced_accuracy,5,0.5287952611368494,0.0107349640264088,0.515466042783245,0.5421244794904537
SR-p53,random_forest,sensitivity,5,0.0650115338096485,0.019700783132908666,0.0405497806570958,0.08947328696220119
SR-p53,random_forest,specificity,5,0.9925789884640507,0.0020160042308701638,0.9900757885903527,0.9950821883377486
SR-p53,random_forest,precision,5,0.45606060606060606,0.13364289134060572,0.2901210392671181,0.622000172854094
SR-p53,random_forest,f1,5,0.11368027445430359,0.03416128901784024,0.07126343174861766,0.15609711715998953
SR-p53,random_forest,brier,5,0.07272520855829523,0.0064405266025268845,0.06472823854646398,0.08072217857012648
SR-p53,random_forest,ece,5,0.0322318979095501,0.010289225887277875,0.019456136555930953,0.04500765926316924
SR-p53,random_forest,nll,5,0.26385652730294773,0.015877629357980916,0.24414184655231963,0.28357120805357583
SR-p53,random_forest,recall_at_precision_0.80,5,0.010921582563373607,0.010549976204917402,-0.0021779430721787316,0.024021108198925945
SR-p53,random_forest,precision_at_recall_0.80,5,0.15931129539789768,0.022372331433924628,0.13153237690051103,0.18709021389528432
ames_mutagenicity,logistic_regression,roc_auc,5,0.6725612804550539,0.020933668670627747,0.6465686977164093,0.6985538631936985
ames_mutagenicity,logistic_regression,pr_auc,5,0.7338219733605291,0.01589009506174034,0.7140918143943307,0.7535521323267276
ames_mutagenicity,logistic_regression,mcc,5,0.25262027333341347,0.03399743086704852,0.21040688739437785,0.2948336592724491
ames_mutagenicity,logistic_regression,balanced_accuracy,5,0.6279504484189511,0.016937059589257546,0.6069203112915381,0.6489805855463641
ames_mutagenicity,logistic_regression,sensitivity,5,0.6678259830174771,0.03000369041727372,0.630571480813097,0.7050804852218572
ames_mutagenicity,logistic_regression,specificity,5,0.5880749138204251,0.032583750435056666,0.5476168439787589,0.6285329836620913
ames_mutagenicity,logistic_regression,precision,5,0.7143703962159268,0.01099460753258828,0.700718787868332,0.7280220045635216
ames_mutagenicity,logistic_regression,f1,5,0.6899977138405877,0.016923104463356334,0.6689849042905966,0.7110105233905788
ames_mutagenicity,logistic_regression,brier,5,0.33601925391625925,0.01701038493407839,0.3148980713480264,0.3571404364844921
ames_mutagenicity,logistic_regression,ece,5,0.3254700214016394,0.019463473428016704,0.3013029271660754,0.3496371156372034
ames_mutagenicity,logistic_regression,nll,5,2.9779096245984946,0.14662683859795372,2.795848357940981,3.159970891256008
ames_mutagenicity,logistic_regression,recall_at_precision_0.80,5,0.1670984489289217,0.15971404174237,-0.03121272671019268,0.36540962456803605
ames_mutagenicity,logistic_regression,precision_at_recall_0.80,5,0.6860013257694122,0.005595037538213926,0.6790541690896134,0.692948482449211
ames_mutagenicity,random_forest,roc_auc,5,0.8259348792095309,0.0168529838093672,0.8050091359511287,0.8468606224679331
ames_mutagenicity,random_forest,pr_auc,5,0.8755479663733725,0.01065931810384263,0.8623126748384294,0.8887832579083156
ames_mutagenicity,random_forest,mcc,5,0.5040705063940764,0.043657037293572,0.4498631349184088,0.5582778778697439
ames_mutagenicity,random_forest,balanced_accuracy,5,0.7513639778634407,0.019650400601640344,0.7269647828861022,0.7757631728407791
ames_mutagenicity,random_forest,sensitivity,5,0.8068205722211725,0.036597729529864544,0.7613784890479409,0.8522626553944042
ames_mutagenicity,random_forest,specificity,5,0.6959073835057087,0.015056577019379033,0.6772121738845636,0.7146025931268538
ames_mutagenicity,random_forest,precision,5,0.8033863693449073,0.008826593159866928,0.7924267063915089,0.8143460322983056
ames_mutagenicity,random_forest,f1,5,0.8048779648419548,0.022133266277883607,0.7773958849420493,0.8323600447418604
ames_mutagenicity,random_forest,brier,5,0.1671234464549022,0.0075829093377177475,0.1577080209286149,0.1765388719811895
ames_mutagenicity,random_forest,ece,5,0.05508496880488163,0.009714182489269668,0.04302321813597404,0.06714671947378922
ames_mutagenicity,random_forest,nll,5,0.5048980711024942,0.017738825172997654,0.48287241051475227,0.5269237316902361
ames_mutagenicity,random_forest,recall_at_precision_0.80,5,0.8106408667823235,0.04999481205465783,0.7485641085570912,0.8727176250075558
ames_mutagenicity,random_forest,precision_at_recall_0.80,5,0.8076135783143001,0.02361241882238466,0.7782948879520362,0.8369322686765641
herg_blockade,logistic_regression,roc_auc,5,0.7609035792371698,0.013694663655886258,0.7438994084081463,0.7779077500661933
herg_blockade,logistic_regression,pr_auc,5,0.7572051402556671,0.031860226405187646,0.7176454441537246,0.7967648363576096
herg_blockade,logistic_regression,mcc,5,0.39057888979849265,0.032360329698988805,0.3503982334412541,0.4307595461557312
herg_blockade,logistic_regression,balanced_accuracy,5,0.6953510379280392,0.016203239413040495,0.6752320588945905,0.7154700169614879
herg_blockade,logistic_regression,sensitivity,5,0.6916973763040779,0.014375462691671562,0.6738478818223079,0.7095468707858479
herg_blockade,logistic_regression,specificity,5,0.6990046995520005,0.02342450587105883,0.669919333936194,0.728090065167807
herg_blockade,logistic_regression,precision,5,0.7001467394896249,0.030610499186525458,0.6621387846826706,0.7381546942965792
herg_blockade,logistic_regression,f1,5,0.6957834706220531,0.021576326862239488,0.6689929223437335,0.7225740189003728
herg_blockade,logistic_regression,brier,5,0.24998802165270936,0.009553446386763923,0.23812585121549473,0.261850192089924
herg_blockade,logistic_regression,ece,5,0.2140596278804093,0.011191187706411528,0.20016393300821753,0.22795532275260108
herg_blockade,logistic_regression,nll,5,1.1714865913393993,0.050551537017517204,1.108718567770883,1.2342546149079154
herg_blockade,logistic_regression,recall_at_precision_0.80,5,0.42249193280977704,0.12352804636913423,0.2691116048647776,0.5758722607547765
herg_blockade,logistic_regression,precision_at_recall_0.80,5,0.6482563787498967,0.024596720902947258,0.6177155159308411,0.6787972415689524
herg_blockade,random_forest,roc_auc,5,0.8435170771460628,0.012627654289160796,0.8278377734334486,0.8591963808586771
herg_blockade,random_forest,pr_auc,5,0.8508047593239795,0.022325800978740803,0.8230836160176146,0.8785259026303444
herg_blockade,random_forest,mcc,5,0.5396550631601756,0.02979030149820756,0.5026655182942156,0.5766446080261357
herg_blockade,random_forest,balanced_accuracy,5,0.7695220792351918,0.015124544054081028,0.7507424773939926,0.788301681076391
herg_blockade,random_forest,sensitivity,5,0.7395783759971161,0.0194790229260421,0.7153919745096639,0.7637647774845683
herg_blockade,random_forest,specificity,5,0.7994657824732676,0.015946658423580187,0.7796653908170552,0.81926617412948
herg_blockade,random_forest,precision,5,0.7889560470612922,0.026542375372085054,0.7559993351349639,0.8219127589876205
herg_blockade,random_forest,f1,5,0.7633647274785884,0.020628899560388037,0.7377505655718931,0.7889788893852837
herg_blockade,random_forest,brier,5,0.16382400855122034,0.005877937170139882,0.15652558558335392,0.17112243151908677
herg_blockade,random_forest,ece,5,0.054119249450390226,0.013610512178845142,0.03721956648080431,0.07101893241997614
herg_blockade,random_forest,nll,5,0.49636095900926164,0.013777929791494685,0.47925339961738356,0.5134685184011397
herg_blockade,random_forest,recall_at_precision_0.80,5,0.7079210597644858,0.07066073721169802,0.6201841662821832,0.7956579532467885
herg_blockade,random_forest,precision_at_recall_0.80,5,0.7472722762946565,0.035940273073227065,0.7026465331340183,0.7918980194552948
