endpoint,model,seed,status,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp
SR-ATAD5,logistic_regression,20260726,completed,853,0.06096131301289566,0.5,0.7200494574090079,0.1718430298021083,0.14628070377962615,0.8898007033997656,0.581676750216076,0.23076923076923078,0.9325842696629213,0.18181818181818182,0.2033898305084746,0.09410561005587832,0.09819122491286109,0.5658543996140785,0.0,0.09839816933638444,747,54,40,12
SR-ATAD5,random_forest,20260726,completed,853,0.06096131301289566,0.5,0.7864208201286853,0.2039162836395457,0.15444285176193,0.9390386869871044,0.5269734946701239,0.057692307692307696,0.9962546816479401,0.5,0.10344827586206896,0.053180004689331886,0.015066824150058613,0.19878359528335446,0.0,0.12962962962962962,798,3,49,3
SR-ARE,logistic_regression,20260726,completed,688,0.23837209302325582,0.5,0.6736815769875257,0.37340289470209254,0.25054764115259165,0.7209302325581395,0.6282815118227518,0.45121951219512196,0.8053435114503816,0.42045454545454547,0.43529411764705883,0.2509132930346695,0.23765088937585566,2.0109807329294918,0.0,0.30205949656750575,422,102,90,74
SR-ARE,random_forest,20260726,completed,688,0.23837209302325582,0.5,0.7543753490970024,0.4944164349417456,0.24900436816174232,0.7819767441860465,0.5615341649599702,0.1402439024390244,0.982824427480916,0.71875,0.23469387755102042,0.15466220130337396,0.024646630724104873,0.4737133695321763,0.08536585365853659,0.3687150837988827,515,9,141,23
SR-MMP,logistic_regression,20260726,completed,696,0.2686781609195402,0.5,0.7620530977170293,0.5257130423931519,0.35362241736530753,0.7442528735632183,0.6779887164724794,0.5347593582887701,0.8212180746561886,0.5235602094240838,0.5291005291005291,0.21897350761533138,0.20516402011645857,1.4314779616323716,0.0,0.4081081081081081,418,91,87,100
SR-MMP,random_forest,20260726,completed,696,0.2686781609195402,0.5,0.8269281279220029,0.6795959391185267,0.4586737860671393,0.8060344827586207,0.6914732672851245,0.44385026737967914,0.9390962671905697,0.7280701754385965,0.5514950166112956,0.14082271748036843,0.05064983629284444,0.4448158889236388,0.37967914438502676,0.4919093851132686,478,31,104,83
herg_blockade,logistic_regression,20260727,completed,2143,0.5034997666822212,0.5,0.7616070122014953,0.7643222551539608,0.3727995466423206,0.6864209052729818,0.6863336805870097,0.6987951807228916,0.6738721804511278,0.6848319709355132,0.691743119266055,0.2516835357184464,0.21763902367131835,1.1212883301129941,0.4309545875810936,0.6458026509572902,717,347,325,754
herg_blockade,random_forest,20260727,completed,2143,0.5034997666822212,0.5,0.8311393346666016,0.844686432816834,0.5011090018886071,0.7498833411105926,0.7501062665932672,0.7182576459684893,0.7819548872180451,0.7696127110228401,0.7430488974113135,0.16863372487153913,0.030438966778455877,0.5052051351859641,0.6552363299351252,0.715702479338843,832,232,304,775
ames_mutagenicity,logistic_regression,20260727,completed,1045,0.614354066985646,0.5,0.6765574391441139,0.7531017780508815,0.2345467107248404,0.6248803827751196,0.6198797183120366,0.6417445482866043,0.598014888337469,0.7177700348432056,0.6776315789473685,0.3422177234918552,0.33289572353492347,2.983844517098007,0.35514018691588783,0.6890080428954424,241,162,230,412
ames_mutagenicity,random_forest,20260727,completed,1045,0.614354066985646,0.5,0.8130435286751234,0.8745034030177263,0.472665031591466,0.7502392344497608,0.7362228767112698,0.7975077881619937,0.674937965260546,0.7962674961119751,0.796887159533074,0.17205430288055878,0.04485282973037544,0.5164588183179124,0.7928348909657321,0.7959814528593508,272,131,130,512
SR-p53,logistic_regression,20260727,completed,786,0.08524173027989822,0.5,0.6496377638926369,0.16869732933729548,0.1661504198576698,0.851145038167939,0.5938077346231291,0.2835820895522388,0.9040333796940194,0.2159090909090909,0.24516129032258063,0.13192577730892927,0.14116899242210385,0.9198170764540136,0.0,0.11044176706827309,650,69,48,19
SR-p53,random_forest,20260727,completed,786,0.08524173027989822,0.5,0.7786104249268262,0.33140647072168644,0.22409135304372035,0.9185750636132316,0.5426898885267681,0.08955223880597014,0.9958275382475661,0.6666666666666666,0.15789473684210525,0.06866846506535337,0.031340169493304045,0.2512167726263772,0.014925373134328358,0.17133956386292834,716,3,61,6
SR-ATAD5,logistic_regression,20260727,completed,834,0.047961630695443645,0.5,0.6729219143576826,0.13649041561367847,0.12313101196217602,0.89568345323741,0.577235516372796,0.225,0.929471032745592,0.13846153846153847,0.17142857142857143,0.09076435093498651,0.09675691266065164,0.5670754352763594,0.0,0.06470588235294118,738,56,31,9
SR-ATAD5,random_forest,20260727,completed,834,0.047961630695443645,0.5,0.6998583123425693,0.14591316012723676,0.05525692887042025,0.9484412470023981,0.5099811083123426,0.025,0.9949622166246851,0.2,0.044444444444444446,0.04521224460431681,0.01934053021582734,0.18251525992900453,0.0,0.06274509803921569,790,4,39,1
SR-ARE,logistic_regression,20260727,completed,659,0.22458270106221548,0.5,0.6739369016766277,0.3678787744482217,0.20501093951319818,0.7177541729893778,0.6044123869466335,0.39864864864864863,0.8101761252446184,0.3782051282051282,0.3881578947368421,0.24487620743624136,0.243810331112464,1.9297252593967338,0.0,0.28199052132701424,414,97,89,59
SR-ARE,random_forest,20260727,completed,659,0.22458270106221548,0.5,0.7575963928703654,0.5145030076816712,0.3186615323743231,0.8057663125948407,0.5867668059448882,0.1891891891891892,0.9843444227005871,0.7777777777777778,0.30434782608695654,0.14658772859729047,0.0333093346355076,0.47646120777092876,0.14864864864864866,0.3498542274052478,503,8,120,28
SR-MMP,logistic_regression,20260727,completed,670,0.2417910447761194,0.5,0.7742235345581803,0.5309403997389069,0.4207494227880373,0.7731343283582089,0.7221614659278701,0.6234567901234568,0.8208661417322834,0.5260416666666666,0.5706214689265536,0.20152985500106588,0.1842159857517605,1.3358388631891696,0.05555555555555555,0.3880597014925373,417,91,61,101
SR-MMP,random_forest,20260727,completed,670,0.2417910447761194,0.5,0.8261580149703509,0.6285647537290077,0.4362341352813779,0.808955223880597,0.695331486341985,0.47530864197530864,0.9153543307086615,0.6416666666666667,0.5460992907801419,0.1366057221100394,0.055964038440903946,0.43149202683929216,0.21604938271604937,0.4564459930313589,465,43,85,77
