endpoint,model,split_strategy,partition,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp
herg_blockade,xgboost,global_scaffold,validation,2095,0.5498806682577566,0.5,0.8350468915694593,0.860264889179847,0.5158432123672321,0.7565632458233891,0.7592144603511253,0.7326388888888888,0.7857900318133616,0.8068833652007649,0.7679708826205641,0.16814559669028595,0.05063506508677274,0.5050252472140712,0.7378472222222222,0.7715481171548118,741,202,308,844
herg_blockade,xgboost,global_scaffold,test,1883,0.5071694105151354,0.5,0.8135431711500272,0.8337108754584308,0.45210190256053,0.724907063197026,0.7254750406210507,0.6858638743455497,0.7650862068965517,0.7502863688430699,0.7166301969365426,0.17605861325278072,0.03435383952335036,0.5261843446030148,0.6167539267015707,0.6945454545454546,710,218,300,655
ames_mutagenicity,dummy,global_scaffold,validation,1111,0.603060306030603,0.5,0.5,0.603060306030603,0.0,0.603060306030603,0.5,1.0,0.0,0.603060306030603,0.7523862998315554,0.24459903013449244,0.07225272876240763,0.6823327447446812,0.0,0.603060306030603,0,441,0,670
ames_mutagenicity,dummy,global_scaffold,test,1120,0.5473214285714286,0.5,0.5,0.5473214285714286,0.0,0.5473214285714286,0.5,1.0,0.0,0.5473214285714286,0.7074437391806117,0.24803338968282448,0.01651385130323324,0.6892101758922655,0.0,0.5473214285714286,0,507,0,613
ames_mutagenicity,logistic_regression,global_scaffold,validation,1111,0.603060306030603,0.5,0.7000761498629302,0.751748604097876,0.3264009112394197,0.6723672367236724,0.6651927437641723,0.7,0.6303854875283447,0.7420886075949367,0.7204301075268817,0.3092243507079786,0.3014835910625161,3.090748629219173,0.3283582089552239,0.7001303780964798,278,163,201,469
ames_mutagenicity,logistic_regression,global_scaffold,test,1120,0.5473214285714286,0.5,0.7227879829209984,0.7321032936427239,0.33860428487107286,0.6714285714285714,0.6696525961176483,0.6884176182707994,0.650887573964497,0.7045075125208681,0.6963696369636964,0.29890812621749124,0.29150913619328345,2.6794863964377873,0.31484502446982054,0.6726027397260274,330,177,191,422
ames_mutagenicity,random_forest,global_scaffold,validation,1111,0.603060306030603,0.5,0.8374877314109724,0.8855601481028756,0.5049779535564127,0.7632763276327633,0.7521914238332148,0.8059701492537313,0.6984126984126984,0.8023774145616642,0.8041697691734921,0.1606228226818564,0.034457058955302905,0.487468932732458,0.8134328358208955,0.8035982008995503,308,133,130,540
ames_mutagenicity,random_forest,global_scaffold,test,1120,0.5473214285714286,0.5,0.8654626420971004,0.8905249953426637,0.5634143385515324,0.7839285714285714,0.7812935381011676,0.8091353996737357,0.7534516765285996,0.7987117552334944,0.8038897893030794,0.15129911528705012,0.04465367694715697,0.46395025058581,0.802610114192496,0.8092105263157895,382,125,117,496
ames_mutagenicity,svm,global_scaffold,validation,1111,0.603060306030603,0.5,0.8403255829695062,0.8821744998164027,0.5120201312539285,0.7641764176417641,0.7579754289775612,0.7880597014925373,0.7278911564625851,0.8148148148148148,0.8012139605462822,0.15844378348698326,0.0462543097428695,0.4830050767751596,0.8119402985074626,0.8121212121212121,321,120,142,528
ames_mutagenicity,svm,global_scaffold,test,1120,0.5473214285714286,0.5,0.8652631511208496,0.8921380287014782,0.5718022551994112,0.7875,0.7862615069290938,0.799347471451876,0.7731755424063116,0.8099173553719008,0.8045977011494253,0.14836500112782858,0.018487343940666572,0.4553596147796815,0.8123980424143556,0.8049180327868852,392,115,123,490
ames_mutagenicity,gradient_boosting,global_scaffold,validation,1111,0.603060306030603,0.5,0.8315260432531222,0.886172443711803,0.5094162487123173,0.7641764176417641,0.7556503198294243,0.7970149253731343,0.7142857142857143,0.8090909090909091,0.8030075187969925,0.16622501549995305,0.052062740627054294,0.5037318689508906,0.808955223880597,0.8041543026706232,315,126,136,534
ames_mutagenicity,gradient_boosting,global_scaffold,test,1120,0.5473214285714286,0.5,0.8535189242931747,0.8705881002995803,0.5478126530833942,0.7758928571428572,0.773952591934773,0.7944535073409462,0.7534516765285996,0.795751633986928,0.7951020408163265,0.1548515400752133,0.02948850411466992,0.4781984122755544,0.7814029363784666,0.7964458804523424,382,125,126,487
ames_mutagenicity,xgboost,global_scaffold,validation,1111,0.603060306030603,0.5,0.8388195079026636,0.894494568616879,0.49899465180468205,0.756975697569757,0.7520052797238299,0.7761194029850746,0.7278911564625851,0.8125,0.7938931297709924,0.16129182107426127,0.03391176179842729,0.4850796699368316,0.8074626865671641,0.8071748878923767,321,120,150,520
ames_mutagenicity,xgboost,global_scaffold,test,1120,0.5473214285714286,0.5,0.8549845394493405,0.8844778632405144,0.5248215832860699,0.7633928571428571,0.7632154727775258,0.765089722675367,0.7613412228796844,0.7949152542372881,0.7797173732335827,0.15524617333256502,0.0246051967160643,0.4699453969601736,0.732463295269168,0.7893890675241158,386,121,144,469
SR-p53,dummy,global_scaffold,validation,786,0.07633587786259542,0.5,0.5,0.07633587786259542,0.0,0.9236641221374046,0.5,0.0,1.0,0.0,0.0,0.07092578384489093,0.020422346372260793,0.27329411010751214,0.0,0.07633587786259542,726,0,60,0
SR-p53,dummy,global_scaffold,test,986,0.08519269776876268,0.5,0.5,0.08519269776876268,0.0,0.9148073022312373,0.5,0.0,1.0,0.0,0.0,0.07879217159360277,0.029279166278428047,0.2983271263537753,0.0,0.08519269776876268,902,0,84,0
SR-p53,logistic_regression,global_scaffold,validation,786,0.07633587786259542,0.5,0.5887970615243343,0.1754745532974307,0.10504115480240683,0.8689567430025446,0.5544765840220386,0.18333333333333332,0.9256198347107438,0.16923076923076924,0.176,0.11234807459980234,0.1139514794394989,0.8383614800935733,0.03333333333333333,0.07633587786259542,672,54,49,11
SR-p53,logistic_regression,global_scaffold,test,986,0.08519269776876268,0.5,0.6381387921022068,0.1699476357307606,0.17247635553073468,0.859026369168357,0.5936675113504382,0.27380952380952384,0.9135254988913526,0.22772277227722773,0.24864864864864866,0.12314603720555303,0.12388096436571386,0.9536400872801032,0.0,0.09985315712187959,824,78,61,23
SR-p53,random_forest,global_scaffold,validation,786,0.07633587786259542,0.5,0.7868916437098256,0.2988883787679105,0.15779415634877755,0.9249363867684478,0.5236225895316804,0.05,0.9972451790633609,0.6,0.09230769230769231,0.062181507932327615,0.007173839599303498,0.22769290885208587,0.016666666666666666,0.13114754098360656,724,2,57,3
SR-p53,random_forest,global_scaffold,test,986,0.08519269776876268,0.5,0.7628616302396791,0.3361845813202994,0.09483194280771053,0.9148073022312373,0.510796114454651,0.023809523809523808,0.9977827050997783,0.5,0.045454545454545456,0.06862734511010872,0.016532111539190805,0.26788527162744863,0.011904761904761904,0.128060263653484,900,2,82,2
SR-p53,svm,global_scaffold,validation,786,0.07633587786259542,0.5,0.7999655647382921,0.27669413910544627,0.1696901459825701,0.9223918575063613,0.537534435261708,0.08333333333333333,0.9917355371900827,0.45454545454545453,0.14084507042253522,0.06346544296119135,0.02043811896679867,0.22780106284369658,0.0,0.14501510574018128,720,6,55,5
