endpoint,model,split_strategy,partition,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp,family,best_epoch,best_validation_loss
SR-MMP,logistic_regression,global_scaffold,test,842,0.2209026128266033,0.5,0.7557369525308156,0.4825059830777394,0.3607028061034491,0.7790973871733967,0.6810418305795961,0.5053763440860215,0.8567073170731707,0.5,0.5026737967914439,0.1966707467646955,0.1890165113930314,1.4808104650995453,0.0,0.3256302521008403,562,94,92,94,qsar,,
SR-MMP,random_forest,global_scaffold,test,842,0.2209026128266033,0.5,0.8574408274324679,0.6596974135016606,0.3985681766584442,0.8242280285035629,0.6156323760818254,0.2419354838709677,0.989329268292683,0.8653846153846154,0.3781512605042016,0.1240402323470326,0.0647412092222077,0.3951670988929562,0.3548387096774194,0.4745222929936306,649,7,141,45,qsar,,
SR-MMP,svm,global_scaffold,test,842,0.2209026128266033,0.5,0.8814950498295305,0.675059412113527,0.494753881126439,0.8456057007125891,0.6929091266719118,0.4193548387096774,0.9664634146341464,0.78,0.5454545454545454,0.1144995854087904,0.0520382866914211,0.3597697188990044,0.3225806451612903,0.5457875457875457,634,22,108,78,qsar,,
SR-MMP,gradient_boosting,global_scaffold,test,842,0.2209026128266033,0.5,0.8453030750065564,0.6130118472986151,0.4055735737463698,0.8206650831353919,0.66149521374246,0.3763440860215054,0.9466463414634146,0.6666666666666666,0.4810996563573883,0.1309551336634915,0.0817746756983894,0.4348616297231676,0.2258064516129032,0.4837662337662338,621,35,116,70,qsar,,
SR-MMP,xgboost,global_scaffold,test,842,0.2209026128266033,0.5,0.8758810319958039,0.6630160099637246,0.4594173859345327,0.83729216152019,0.6702399685287175,0.3709677419354839,0.9695121951219512,0.7752808988764045,0.5018181818181818,0.1168502792674135,0.0593069515243834,0.3694189272868899,0.2311827956989247,0.5302491103202847,636,20,117,69,qsar,,
SR-ARE,fingerprint_mlp,,,847,0.2054309327036599,0.5,0.763893870301105,0.5014589365111585,0.3447479430421121,0.7119244391971665,0.705799217775956,0.6954022988505747,0.7161961367013373,0.3878205128205128,0.4979423868312757,0.2008818312918399,0.2017354718777829,0.6058862525285396,0.1149425287356321,0.3160270880361174,482,191,53,121,single_task_mlp,,
SR-ATAD5,fingerprint_mlp,,,1027,0.0642648490749756,0.5,0.7273279096900326,0.175134029159986,0.1673934540298623,0.6504381694255112,0.6650506101598713,0.6818181818181818,0.6482830385015609,0.1174934725848564,0.2004454342984409,0.2174297926110631,0.3789226002470334,0.6272057098850629,0.0,0.1016635859519408,623,338,21,45,single_task_mlp,,
SR-MMP,fingerprint_mlp,,,842,0.2209026128266033,0.5,0.8401562090217677,0.6352215163004525,0.4871324098925483,0.8087885985748219,0.7598019931812221,0.6720430107526881,0.8475609756097561,0.5555555555555556,0.6082725060827251,0.1434500523406962,0.1208609028349104,0.4634860823037932,0.3010752688172043,0.436950146627566,556,100,61,125,single_task_mlp,,
SR-p53,fingerprint_mlp,,,986,0.0851926977687626,0.5,0.7622479146869391,0.3187448427255981,0.2786892038320165,0.8620689655172413,0.6655052264808362,0.4285714285714285,0.902439024390244,0.2903225806451613,0.3461538461538461,0.1368604360882461,0.251770210518496,0.4467080320803882,0.0238095238095238,0.1379310344827586,814,88,48,36,single_task_mlp,,
ames_mutagenicity,fingerprint_mlp,,,1120,0.5473214285714286,0.5,0.8526533908639569,0.8790324615631269,0.5154582962972493,0.7482142857142857,0.7566821433053081,0.66721044045677,0.8461538461538461,0.839835728952772,0.7436363636363637,0.1674500029142822,0.096773605717213,0.5067568782373915,0.766721044045677,0.777602523659306,429,78,204,409,single_task_mlp,,
